restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,playCount,diggCount,shareCount,tiktok_post_count,gmaps_reviews_scraped,gmaps_avg_rating_scraped,wongnai_rating,wongnai_reviews,facebook_likes
3085,Boon Tong Kee Future Park Rangsit,บุญตงกี่ ฟิวเจอร์พาร์ค รังสิต,Rangsit,0.0,0.0,0.0,1.0,5.0,4.0,,,
3091,Baba Soul Food Baba Beach Club (Hua Hin) ,บาบาโซลฟู้ด โรงแรมบาบาบีช (หัวหิน),Bangkok,0.0,0.0,0.0,0.0,5.0,4.6,,,
3092,Barracuda Rooftop Bar Akara Hotel Bangkok,บาร์ราคูดา รูฟท๊อป บาร์ โรงแรมอครา กรุงเทพ,Pratunaam,0.0,0.0,0.0,0.0,5.0,4.4,,,
3094,Namngeaw Thongsor,น้ำเงี้ยวทองซ้อ,Thonglor,0.0,0.0,0.0,0.0,5.0,5.0,,,
3098,,เดอะ บ็อกซ์ ออฟ ฟิท,Bangkok,0.0,0.0,0.0,0.0,,,,,
3099,,อะโบฟสโตน รูฟท็อป,Bangkok,0.0,0.0,0.0,0.0,,,,,
3101,,บ้านเมี่ยงปลาเผา จิ้มจุ่ม หมูกระทะ,Bangkok,0.0,0.0,0.0,0.0,,,,,
3105,,บ้านหญิง เมกาบางนา,Bangkok,0.0,0.0,0.0,0.0,,,,,
3106,,บ้านหญิง สยามเซ็นเตอร์,Bangkok,0.0,0.0,0.0,0.0,,,,,
3108,,บ้านหญิง เทอร์มินอล 21 อโศก,Bangkok,0.0,0.0,0.0,0.0,,,,,
3110,,บ้านหญิง เดอะมอลล์ งามวงศ์วาน,Bangkok,0.0,0.0,0.0,0.0,,,,,
3111,You&I Premium Suki Buffet Siam Center,ยูแอนด์ไอ พรีเมี่ยมสุกี้บุฟเฟ่ต์ สยามเซ็นเตอร์,Bangkok,0.0,0.0,0.0,0.0,,,,,
3112,AIRE Bar at Hyatt Place Bangkok Sukhumvit 24,แอร์ บาร์ แอท ไฮแอท เพลส สุขุมวิท,Phrom Phong,0.0,0.0,0.0,0.0,5.0,5.0,,,
3113,Rak to Eat (Phuket),รักทูอีท (ภูเก็ต),Bangkok,0.0,0.0,0.0,0.0,5.0,5.0,,,
3117,Bangkok'78 at Sindhorn Midtown Hotel Bangkok,Bangkok'78 at Sindhorn Midtown Hotel Bangkok,Chidlom,0.0,0.0,0.0,0.0,5.0,4.6,,,
3118,,ฮอปแอดดิค (ชลบุรี),Bangkok,0.0,0.0,0.0,0.0,,,,,
3119,Crystal Grill 82nd floor at Baiyoke Sky Hotel,คริสตัล กริลล์ ชั้น82 โรงแรมใบหยกสกาย,Pratunaam,0.0,0.0,0.0,1.0,5.0,4.0,,,
