restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,phone_number,total_revenue,total_bookings,total_guests,avg_revenue_per_booking,no_show_rate
3273,,ไลบรารี่ บีเคเค 515 วิคตอรี่,Bangkok,880770808,15480.0,1.0,3.0,15480.0,0.0
3276,Kappou Nihon Ratchapruek,คัปโปอุ นิฮง ราชพฤกษ์,Taling Chan,659388082,1423080.0,42.0,106.0,33882.857142857145,0.0
3278,Cafe Rim Klong (Trang),คาเฟ่ริมคลอง (ตรัง),Bangkok,896666910,56160.0,4.0,15.0,14040.0,0.0
3279,,อูรากิ โอมากาเสะ,Bangkok,949959999,32813870.0,1153.0,2391.0,28459.5576756288,0.0008673026886383
3280,,ฮันยัง ร้านอาหารเกาหลี,Bangkok,642242495,137628.0,11.0,29.0,12511.636363636364,0.0
3281,,ไวน์ รีพับบลิค ทองหล่อ 10,Bangkok,927686888,3770400.0,226.0,469.0,16683.185840707964,0.0
3282,Chopkeeper Butcher & Tap Pattanakarn,ช๊อปคีฟเปอร์ บุชเชอร์ แอนด์ แทป พัฒนาการ,Phatthanakan,946195665,19945932.0,664.0,1839.0,30039.05421686747,0.0090361445783132
3283,Chopkeeper Butcher & Tap Bangna,ช๊อปคีฟเปอร์ บุชเชอร์ แอนด์ แทป บางนา,Bangkok,989742250,16686888.0,666.0,1467.0,25055.38738738739,0.006006006006006
3289,,ร้านอาหารเชาว์ ถาวรปาล์มบีชรีสอร์ท (ภูเก็ต),Bangkok,630626811,94500.0,2.0,12.0,47250.0,0.0
3291,,ดิ เอ๊กซ์สเคป ริเวอร์แคว สเตเคชั่น (กาญจนบุรี),Bangkok,931207832,2335000.0,18.0,41.0,129722.22222222222,0.0
3293,Atelier Restaurant at Hilton Bangkok Grande Asoke,ห้องอาหารอเทลิเย่ โรงแรมฮิลตัน กรุงเทพ แกรนด์ อโศก,Asok,22044000,73105344.0,1623.0,6482.0,45043.34195933457,0.0117067159581022
3294,The Hub Cafe and Eatery,เดอะ ฮับ คาเฟ่ แอนด์ อีทเทอรี่,Bangkok,927897181,10591680.0,637.0,1501.0,16627.441130298273,0.0
3295,Place Bangkok ,เพลส แบงคอก,Ari,827207247,237799896.0,10105.0,21056.0,23532.89421078674,0.0011875309252845
3296,,อินเดอะเฮ้าส์อารีย์ อารีย์ซอย 5,Bangkok,806113666,3710568.0,186.0,411.0,19949.290322580644,0.021505376344086
3298,,หมี่ยำเจริญ สาขาสาทร,Bangkok,932961639,175800.0,29.0,64.0,6062.068965517241,0.0
3299,My Castle Beach ,มายแคสเซิลบีช,Nonthaburi,655394040,1672716.0,79.0,252.0,21173.62025316456,0.0379746835443038
