restaurant_id,raw_average_sentiment,sentiment_variance,nlp_review_count,sentiment_score
2043,0.5074466666666667,0.23254302050574707,30,75.37233333333333
2044,0.8016933333333333,0.06304062133333332,30,90.08466666666666
2049,0.48244666666666663,0.18364628671264363,30,74.12233333333333
2054,0.66006,0.0877185673103448,30,83.003
2061,0.784015,0.11333516450000003,20,89.20075
2072,0.55175,0.13959658368421052,20,77.58749999999999
2086,0.8115600000000001,0.03505985351724138,30,90.578
2088,0.6807333333333333,0.13587925402298848,30,84.03666666666668
2090,0.5393950000000001,0.29457825207894733,20,76.96975
2092,0.92795,0.003312138333333332,10,96.39750000000001
2096,0.6491533333333332,0.12155681154022989,30,82.45766666666667
2102,0.7057666666666667,0.11838637816091954,30,85.28833333333333
2111,0.5157900000000001,0.14228102851724134,30,75.7895
2114,0.46530666666666665,0.2417168144367816,30,73.26533333333333
2118,0.6100399999999999,0.2203209825263157,20,80.502
2143,0.47968,0.18502539889655173,30,73.98400000000001
2144,0.45658333333333334,0.3106404972988505,30,72.82916666666667
2145,0.7108133333333334,0.0682968163678161,30,85.54066666666667
2146,0.58434,0.08250691903448276,30,79.217
2157,0.7260500000000001,0.14656388465517242,30,86.30250000000001
2162,0.46155999999999997,0.1518257372631579,20,73.078
2169,0.76551,0.17549287403448283,30,88.2755
2188,0.43776,0.29081415903448277,30,71.88799999999999
2190,0.74994,0.08246094357894736,20,87.497
2201,0.5092066666666667,0.2556273509885057,30,75.46033333333332
2208,0.6444966666666667,0.2089441396436781,30,82.22483333333334
2209,0.692655,0.10241694155263158,20,84.63275
2230,0.5844400000000001,0.13326817006896555,30,79.22200000000001
2239,0.64915,0.15005860327586204,30,82.45750000000001
2243,0.31544,0.36295094386206905,30,65.77199999999999
2248,0.7790166666666667,0.06067229247126437,30,88.95083333333334
2250,0.6488166666666667,0.12071820626436779,30,82.44083333333334
2270,0.7672899999999999,0.17689680644827577,30,88.3645
2284,0.39809666666666665,0.2758339010229885,30,69.90483333333333
2319,0.6894333333333333,0.0888984567816092,30,84.47166666666666
2324,0.7226733333333333,0.0882902496091954,30,86.13366666666667
2350,0.5337433333333333,0.1170003721954023,30,76.68716666666666
2354,0.824785,0.029901273973684216,20,91.23925
2381,0.6462749999999999,0.18404013039473685,20,82.31375
2421,0.63574,0.17503169621052636,20,81.78699999999999
2424,0.650535,0.11564230976315792,20,82.52675
2434,0.76003,0.09508819389655174,30,88.0015
2439,0.72758,0.14995836855172406,30,86.379
2441,0.7123066666666666,0.07982705374712643,30,85.61533333333333
2442,0.8134933333333334,0.08472073788505746,30,90.67466666666667
2449,0.59202,0.13301491544827584,30,79.601
2451,0.6858533333333334,0.1248188963678161,30,84.29266666666668
2452,0.57835,0.2035165081034483,30,78.91749999999999
2454,0.5023066666666667,0.13955490340229887,30,75.11533333333334
2460,0.38595,0.16232089526315788,20,69.2975
2462,0.557935,0.1793750181842105,20,77.89675
2466,0.468645,0.13091852471052634,20,73.43225
2469,0.5240233333333334,0.11632981288505749,30,76.20116666666668
2475,0.6173066666666667,0.1304024820229885,30,80.86533333333334
2482,0.6957566666666667,0.08724706391954025,30,84.78783333333332
2483,0.5012866666666667,0.2040123260229885,30,75.06433333333334
2506,0.6957566666666667,0.08724706391954025,30,84.78783333333332
